Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.7425,93,5,5,2.52074369031
0.002,2.7425,94,5,5,0.893302347737
0.002,2.7425,95,5,5,2.1601125692400003
0.002,2.7425,96,5,7,4.20016715934
0.002,2.7425,97,5,5,0.555675545231
0.002,2.7425,98,5,5,0.985124768648
0.002,2.7425,99,5,5,1.72610628278
0.002,2.99,0,5,5,2.3676762627700003
0.002,2.99,1,5,5,1.2749930916299999
0.002,2.99,10,5,5,2.7667977993400004
0.002,2.99,11,5,5,2.7667977993400004
0.002,2.99,12,5,5,2.05185406701
0.002,2.99,13,5,5,0.7435541634039999
0.002,2.99,14,5,5,1.34308835823
0.002,2.99,15,5,5,0.70434087981
0.002,2.99,16,5,6,2.17743179945
0.002,2.99,17,5,6,4.04093098207
0.002,2.99,18,5,5,3.27307634583
0.002,2.99,19,6,8,5.11422150183
0.002,2.99,2,5,7,6.4704078762
0.002,2.99,20,5,6,5.80240591745
0.002,2.99,21,6,6,3.00682187
0.002,2.99,22,5,5,3.4996298834500004
0.002,2.99,23,5,5,1.8255098995599996
0.002,2.99,24,5,5,3.96674314291
0.002,2.99,25,5,5,1.1198258013200002
0.002,2.99,26,5,5,1.87852178533
0.002,2.99,27,5,6,1.40088413644
0.002,2.99,28,5,6,2.89218129493
0.002,2.99,29,5,5,2.7953481822799997
0.002,2.99,3,5,5,1.28599566561
0.002,2.99,30,5,6,2.3750097080200003
0.002,2.99,31,5,6,2.43409578581
0.002,2.99,32,5,6,1.9351440855900002
0.002,2.99,33,5,5,1.6654464939500002
0.002,2.99,34,5,5,2.18012365312
0.002,2.99,35,5,5,3.23842612617
0.002,2.99,36,5,5,3.62105295821
0.002,2.99,37,5,5,2.04730686779
0.002,2.99,38,5,5,0.561315777785
0.002,2.99,39,5,6,1.3303573376200002
0.002,2.99,4,5,6,3.25087211449
0.002,2.99,40,5,5,3.7425643384300007
0.002,2.99,41,5,7,1.61104656495
0.002,2.99,42,5,5,2.19974975473
0.002,2.99,43,5,6,1.57247447505
0.002,2.99,44,6,7,3.12305266405
0.002,2.99,45,5,5,0.8087418825730001
0.002,2.99,46,5,6,3.7686743147800006
0.002,2.99,47,5,6,5.72510434467
0.002,2.99,48,6,7,2.26632171801
0.002,2.99,49,5,5,1.5772956717700002
0.002,2.99,5,5,5,0.514880127846
0.002,2.99,50,5,5,3.01118832238
0.002,2.99,51,5,5,2.4706000833200004
0.002,2.99,52,6,7,3.62795812436
0.002,2.99,53,5,5,1.14578538778
0.002,2.99,54,5,5,3.01118832238
0.002,2.99,55,5,7,3.4196813982700003
0.002,2.99,56,5,7,4.84406241874
0.002,2.99,57,5,5,4.21401812641
0.002,2.99,58,5,5,2.55460391715
0.002,2.99,59,5,5,2.39438262722
0.002,2.99,6,5,5,0.8832714821750001
0.002,2.99,60,5,6,2.8932035234599995
0.002,2.99,61,5,5,1.76489148969
0.002,2.99,62,5,5,1.9174328320599998
0.002,2.99,63,5,6,2.83398641282
0.002,2.99,64,5,5,2.3459966513299997
0.002,2.99,65,5,5,1.01865536553
0.002,2.99,66,6,6,1.7603459915700002
0.002,2.99,67,5,5,1.4885288513
0.002,2.99,68,5,5,1.7092195416799998
0.002,2.99,69,5,5,1.08327111829
0.002,2.99,7,5,5,2.8972406528600003
0.002,2.99,70,5,5,1.7466718872599998
0.002,2.99,71,5,6,2.64181619314
0.002,2.99,72,5,5,1.94859446225
0.002,2.99,73,5,5,1.6128408428299998
0.002,2.99,74,5,5,1.6924682205200001
0.002,2.99,75,5,6,2.65595075554
0.002,2.99,76,5,5,2.17415291353
0.002,2.99,77,5,5,0.914450146128
0.002,2.99,78,5,5,0.987822368305
0.002,2.99,79,6,6,1.4920518433
0.002,2.99,8,5,5,1.58074649377
0.002,2.99,80,5,5,2.05210840774
0.002,2.99,81,6,6,3.074609642
0.002,2.99,82,5,5,1.98914235348
0.002,2.99,83,5,5,1.61326794492
0.002,2.99,84,5,5,3.64250348125
0.002,2.99,85,5,5,2.66274914832
0.002,2.99,86,5,5,1.60834529754
0.002,2.99,87,5,6,5.075001966219999
0.002,2.99,88,5,5,3.16641433375
0.002,2.99,89,6,6,3.30746819989
0.002,2.99,9,5,5,3.4523712697900004
0.002,2.99,90,5,5,4.1376418611400005
0.002,2.99,91,5,6,7.7740145297100005
0.002,2.99,92,5,6,2.36726432243
0.002,2.99,93,5,5,2.5655602060400002
0.002,2.99,94,5,5,1.3790212877899999
0.002,2.99,95,5,5,2.04596711422
0.002,2.99,96,5,6,0.939995149683
0.002,2.99,97,5,6,2.0423803710099997
0.002,2.99,98,5,5,1.6784225983399998
0.002,2.99,99,5,5,2.3152416158099998
0.15615,2.0,0,754,2145,8.99171242658
0.15615,2.0,1,759,1985,11.3898419843
0.15615,2.0,10,790,2021,10.283530253099999
0.15615,2.0,11,828,2090,9.0185990744
0.15615,2.0,12,727,1859,11.7979977444
0.15615,2.0,13,847,2139,9.29202824406
0.15615,2.0,14,599,1779,19.377713143199998
0.15615,2.0,15,752,2251,11.746967581500002
0.15615,2.0,16,647,1792,9.58359474196
0.15615,2.0,17,784,1971,12.1397550235
0.15615,2.0,18,625,1566,9.71829839381
0.15615,2.0,19,774,1872,9.808639304889999
0.15615,2.0,2,627,1712,8.746604517160002
0.15615,2.0,20,654,2025,10.625163647699999
0.15615,2.0,21,616,1691,8.295860871539999
0.15615,2.0,22,806,2212,9.30685349104
0.15615,2.0,23,678,1961,13.587122667300001
0.15615,2.0,24,677,1878,9.068459935739998
0.15615,2.0,25,735,1876,9.93968967543
0.15615,2.0,26,652,1846,12.139059511600001
0.15615,2.0,27,679,1893,11.2423812705
0.15615,2.0,28,703,2071,11.5867003622
0.15615,2.0,29,962,2773,10.6696085332
0.15615,2.0,3,871,2088,12.8256266977
0.15615,2.0,30,748,2093,10.541892683099999
0.15615,2.0,31,824,2334,14.241909323
0.15615,2.0,32,675,1899,9.537939003930001
0.15615,2.0,33,545,1672,9.44888679448
0.15615,2.0,34,816,2053,11.7496256968
0.15615,2.0,35,541,1498,10.3630775716
0.15615,2.0,36,791,2216,12.0749523119
0.15615,2.0,37,758,1868,8.83977312233
0.15615,2.0,38,757,2086,9.94956563941
0.15615,2.0,39,700,1884,9.60321759885
0.15615,2.0,4,685,2059,10.0486733715
0.15615,2.0,40,742,1929,10.4273122934
0.15615,2.0,41,755,2184,10.4853273664
0.15615,2.0,42,889,2241,8.58387570919
0.15615,2.0,43,803,2185,10.260085156
0.15615,2.0,44,679,1908,9.770234754939999
0.15615,2.0,45,824,2109,10.039753127200001
0.15615,2.0,46,863,2623,12.9619803692
0.15615,2.0,47,695,1843,9.895173946569999
0.15615,2.0,48,665,1892,10.3323247508
0.15615,2.0,49,661,1837,9.92674783678
0.15615,2.0,5,851,2799,10.6975870376
0.15615,2.0,50,779,2370,15.240592736099998
0.15615,2.0,51,767,2189,9.88945551485
0.15615,2.0,52,764,2004,10.9365235927
0.15615,2.0,53,646,1731,12.6642188377
0.15615,2.0,54,1007,2660,10.147425634500001
