Time,I, R, S
0.458604316208,327,55,9618
0.458665624096,328,55,9617
0.458959577016,329,55,9616
0.459133772339,330,55,9615
0.459137162179,331,55,9614
0.459967271559,332,55,9613
0.460424111255,333,55,9612
0.460882878817,334,55,9611
0.46262583768,333,56,9611
0.46268077868,334,56,9610
0.462690726603,335,56,9609
0.462841197791,336,56,9608
0.463461494391,337,56,9607
0.464024711109,338,56,9606
0.464191980538,339,56,9605
0.464555012298,340,56,9604
0.464715704184,341,56,9603
0.465049240628,340,57,9603
0.465372546325,341,57,9602
0.466418555561,342,57,9601
0.466774980942,343,57,9600
0.467362580274,344,57,9599
0.467668317451,345,57,9598
0.468296925084,346,57,9597
0.469182457935,347,57,9596
0.469204878279,348,57,9595
0.469718252231,347,58,9595
0.469880635918,348,58,9594
0.469977278664,347,59,9594
0.470261347661,348,59,9593
0.471007618597,347,60,9593
0.471790873188,346,61,9593
0.472385223842,347,61,9592
0.472416189279,348,61,9591
0.472918269686,349,61,9590
0.473068545238,348,62,9590
0.47383924165,349,62,9589
0.47428977667,350,62,9588
0.474566143122,351,62,9587
0.475028936293,352,62,9586
0.475426791755,353,62,9585
0.475692681918,352,63,9585
0.47575667561,353,63,9584
0.476408179253,354,63,9583
0.476859715389,355,63,9582
0.477102700812,354,64,9582
0.477172438688,355,64,9581
0.477766726928,356,64,9580
0.478032317231,357,64,9579
0.478128034725,358,64,9578
0.478135803319,359,64,9577
0.479591353307,360,64,9576
0.481956694981,361,64,9575
0.482293086828,362,64,9574
0.482536456829,363,64,9573
0.483771314999,364,64,9572
0.483992255911,365,64,9571
0.484032287576,366,64,9570
0.484140541476,367,64,9569
0.484233927534,368,64,9568
0.484371812047,367,65,9568
0.484948941436,366,66,9568
0.485334847041,367,66,9567
0.486160064037,368,66,9566
0.486968342662,369,66,9565
0.487713710572,370,66,9564
0.488000549587,371,66,9563
0.488121142619,372,66,9562
0.488915366752,373,66,9561
0.489143304268,374,66,9560
0.489543591458,373,67,9560
0.489639980268,374,67,9559
0.489898944548,375,67,9558
0.490017867034,376,67,9557
0.490052735626,375,68,9557
0.490317632648,374,69,9557
0.491460466763,375,69,9556
0.491629002262,376,69,9555
0.492028049673,377,69,9554
0.492357561005,378,69,9553
0.492441672147,379,69,9552
0.493635852366,380,69,9551
0.493798404663,381,69,9550
0.494054409291,382,69,9549
0.494206221502,383,69,9548
0.4943039255,384,69,9547
0.494359104928,385,69,9546
0.494373931023,386,69,9545
0.494587533569,387,69,9544
0.49466911084,388,69,9543
0.4966247374,389,69,9542
0.49703425953,388,70,9542
0.498150373413,389,70,9541
0.498254578325,390,70,9540
0.498369893934,389,71,9540
0.498514743929,390,71,9539
0.49898264987,391,71,9538
0.499303640504,392,71,9537
0.500460299372,393,71,9536
0.500532126935,394,71,9535
0.500705112194,393,72,9535
0.500893388034,394,72,9534
0.502199556953,395,72,9533
0.50365798443,396,72,9532
